UserID,InstallationDate,InstallationTime,ChangeOutMeterNo,ChangeOutMeterkWh,InstalledMeterNo,InstalledEndpointSN,InstalledMeterkWh,ServiceLatitude,ServiceLongitude,ServiceLocation,ServiceTimeZone,TenantGroup
rompkoh,01/16/25,18:20,00aa01e5,,00aa01e5,11141605,,,,,,
rompkoh,01/16/25,18:20,00aa00eb,,00aa00eb,11141355,,,,,,
rompkoh,01/16/25,18:20,00aa008d,,00aa008d,11141261,,,,,,
rompkoh,01/16/25,18:20,00aa0339,,00aa0339,11141945,,,,,,
rompkoh,01/16/25,18:20,00aa00ef,,00aa00ef,11141359,,,,,,
rompkoh,01/16/25,18:20,400a29f8,,400a29f8,1074407928,,,,,,
rompkoh,01/16/25,18:20,400a29ec,,400a29ec,1074407916,,,,,,
rompkoh,01/16/25,18:20,400a29e8,,400a29e8,1074407912,,,,,,
rompkoh,01/16/25,18:20,400a29fe,,400a29fe,1074407934,,,,,,
rompkoh,01/16/25,18:20,400a29ee,,400a29ee,1074407918,,,,,,
rompkoh,01/16/25,18:20,400a29d0,,400a29d0,1074407888,,,,,,
rompkoh,01/16/25,18:20,00aa00b5,,00aa00b5,11141301,,,,,,
rompkoh,01/16/25,18:20,00aa021e,,00aa021e,11141662,,,,,,
rompkoh,01/16/25,18:20,00aa0121,,00aa0121,11141409,,,,,,
rompkoh,01/16/25,18:20,00aa011f,,00aa011f,11141407,,,,,,
rompkoh,01/16/25,18:20,00aa014d,,00aa014d,11141453,,,,,,
rompkoh,01/16/25,18:20,00aa01a9,,00aa01a9,11141545,,,,,,
rompkoh,01/16/25,18:20,00aa01d7,,00aa01d7,11141591,,,,,,
rompkoh,01/16/25,18:20,00aa0155,,00aa0155,11141461,,,,,,
rompkoh,01/16/25,18:20,400a2a10,,400a2a10,1074407952,,,,,,
rompkoh,01/16/25,18:20,400a2a2a,,400a2a2a,1074407978,,,,,,
rompkoh,01/16/25,18:20,00aa01b5,,00aa01b5,11141557,,,,,,
rompkoh,01/16/25,18:20,00aa01b1,,00aa01b1,11141553,,,,,,
rompkoh,01/16/25,18:20,00aa0162,,00aa0162,11141474,,,,,,
rompkoh,01/16/25,18:20,00aa08a0,,00aa08a0,11143328,,,,,,
rompkoh,01/16/25,18:20,00aa08a2,,00aa08a2,11143330,,,,,,
rompkoh,01/16/25,18:20,00aa089e,,00aa089e,11143326,,,,,,
rompkoh,01/16/25,18:20,00aa08a4,,00aa08a4,11143332,,,,,,
rompkoh,01/16/25,18:20,00aa00f1,,00aa00f1,11141361,,,,,,
rompkoh,01/16/25,18:20,00aa011b,,00aa011b,11141403,,,,,,
rompkoh,01/16/25,18:20,00aa01ab,,00aa01ab,11141547,,,,,,
rompkoh,01/16/25,18:20,00aa01d3,,00aa01d3,11141587,,,,,,
rompkoh,01/16/25,18:20,00aa01ad,,00aa01ad,11141549,,,,,,
rompkoh,01/16/25,18:20,00aa01bd,,00aa01bd,11141565,,,,,,
rompkoh,01/16/25,18:20,00aa0236,,00aa0236,11141686,,,,,,
rompkoh,01/16/25,18:20,00aa0216,,00aa0216,11141654,,,,,,
rompkoh,01/16/25,18:20,00aa0234,,00aa0234,11141684,,,,,,
rompkoh,01/16/25,18:20,00aa015e,,00aa015e,11141470,,,,,,
rompkoh,01/16/25,18:20,00aa023c,,00aa023c,11141692,,,,,,
rompkoh,01/16/25,18:20,00aa0244,,00aa0244,11141700,,,,,,
rompkoh,01/16/25,18:20,00aa00df,,00aa00df,11141343,,,,,,
